"","LAKE","lakename","latdegminsec","longdegminsec","latdecim","longdecim"
"1","PC1","Goodenough","51.19.8","-121.38.5",51.3188888888889,-121.634722222222
"2","PC2","Long","51.23.9","-121.57.4",51.3858333333333,-121.951111111111
"3","PC3","Greeny","51.51.2","-121.21.0",51.8505555555556,-121.35
"4","PC4","Fly","51.54.3","-121.18.9",51.9008333333333,-121.3025
"5","PC5","Sneezie","51.51.5","-121.12.7",51.8513888888889,-121.201944444444
"6","PC6","Boitano","51.56.7","-122.7.5",51.9352777777778,-122.118055555556
"7","PC7","Sorenson","51.59.8","-122.10.2",51.9855555555556,-122.167222222222
"8","PC8","Westwick","51.59.3","-122.9.0",51.9841666666667,-122.15
"9","PC9","Joes","51.45.2","-122.12.5",51.7505555555556,-122.201388888889
"10","PC10","Alkali","51.46.6","-122.16.7",51.7683333333333,-122.268611111111
"11","PC11","Sting","51.38.3","-122.7.5",51.6341666666667,-122.118055555556
"12","PC12","PutridPond","51.38.9","-122.8.5",51.6358333333333,-122.134722222222
"13","PC13","White2LE4Pond","51.23.9","-121.55.0",51.3858333333333,-121.916666666667
"14","PC14","Beaverdam","51.16.3","-121.37.0",51.2675,-121.616666666667
"15","PC15","noname1","51.15.8","-121.36.0",51.2522222222222,-121.6
"16","PC16","Liberty","51.17.2","-121.43.0",51.2838888888889,-121.716666666667
"17","PC17","Sixmile","51.1.4","-121.32.8",51.0177777777778,-121.535555555556
"18","PC18","LakeSouthofKersey","51.1.8","-121.33.0",51.0188888888889,-121.55
"19","PC19","Kersey","51.2.1","-121.32.8",51.0336111111111,-121.535555555556
"20","PC20","NorthAlkali","51.2.4","-121.32.9",51.0344444444444,-121.535833333333
"21","PC21","Threemile","51.3.4","-121.33.6",51.0511111111111,-121.551666666667
"22","PC22","Leighwood","51.1.8","-121.41.4",51.0188888888889,-121.684444444444
"23","PC23","noname2","51.3.8","-121.34.5",51.0522222222222,-121.568055555556
"24","PC24","Eightythree","51.26.6","-121.25.3",51.435,-121.4175
"25","PC25","EastofEightythree","51.27.9","-121.23.2",51.4525,-121.383888888889
"26","PC26","Colpitt","52.0.3","-122.4.8",52.0008333333333,-122.068888888889
